Unnamed: 0,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
590,36,64,1,16,1,10,0,6,7,12,0,8,11,6,1,2,Кристал Пэлас , Челси,1,4,2
591,57,43,18,7,4,5,14,2,11,12,13,3,11,11,0,2,Бернли , Ньюкасл,1,2,2
592,37,63,4,10,4,5,0,5,7,13,1,9,13,7,3,1,Вест Хэм , Лестер,3,2,1
593,47,53,9,9,3,7,6,2,11,15,7,5,15,11,3,1,Тоттенхэм , Манчестер Юнайтед,1,3,2
594,46,54,4,8,2,5,2,3,9,6,2,4,5,9,2,3,Шеффилд Юнайтед , Арсенал,0,3,2
595,40,60,12,14,6,4,6,10,12,11,5,10,11,12,4,2,Вест Бромвич , Саутгемптон,3,0,1
596,55,45,13,7,3,1,10,6,12,7,10,3,7,12,0,1,Брайтон , Эвертон,0,0,0
597,52,48,15,7,7,3,8,4,8,8,6,3,8,8,2,0,Эвертон , Тоттенхэм,2,2,0
598,35,65,9,10,8,6,1,4,9,7,3,8,7,8,2,0,Ньюкасл , Вест Хэм,3,2,1
599,48,52,8,4,5,2,3,2,8,15,3,3,15,8,2,2,Вулверхэмптон , Шеффилд Юнайтед,1,0,1
600,69,31,13,1,5,1,8,0,9,11,11,1,11,9,5,0,Арсенал , Фулхэм,1,1,0
601,69,31,13,7,9,3,4,4,9,12,8,3,10,9,2,4,Манчестер Юнайтед , Бернли,3,1,1
602,61,39,9,13,5,7,4,6,7,15,10,8,14,6,0,4,Лидс , Ливерпуль,1,1,0
603,64,36,6,6,4,2,2,4,8,9,0,3,8,8,3,0,Челси , Брайтон,0,0,0
604,28,72,6,10,3,3,3,7,12,7,1,11,7,11,1,2,Астон Вилла , Манчестер Сити,1,2,2
605,72,28,12,4,7,1,5,3,13,12,7,3,12,13,1,0,Лестер , Вест Бромвич,3,0,1
606,59,41,6,4,3,1,3,3,13,10,7,3,10,13,2,1,Арсенал , Эвертон,0,1,2
607,68,32,17,5,9,4,8,1,9,7,6,3,6,9,1,4,Ливерпуль , Ньюкасл,1,1,0
608,45,55,6,12,2,6,4,6,9,11,4,2,11,9,3,3,Вест Хэм , Челси,0,1,2
609,32,68,4,12,3,4,1,8,13,7,2,12,6,13,0,1,Шеффилд Юнайтед , Брайтон,1,0,1
610,59,41,7,13,2,7,5,6,8,9,8,5,8,8,2,2,Вулверхэмптон , Бернли,0,4,2
