,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
1016,65,35,12,8,7,1,5,7,7,9,6,6,8,7,1,2,Арсенал , Вест Бромвич,3,1,1
1017,68,32,14,11,3,5,11,6,11,10,8,4,8,11,4,1,Фулхэм , Бернли,0,2,2
1018,53,47,4,6,1,3,3,3,9,12,3,4,12,9,3,0,Манчестер Юнайтед , Лестер,1,2,2
1019,67,33,14,3,5,2,9,1,7,6,9,1,5,5,4,2,Челси , Арсенал,0,1,2
1020,18,82,8,13,5,6,3,7,11,10,4,5,10,10,0,0,Ньюкасл , Манчестер Сити,3,4,2
1021,49,51,12,11,4,6,8,5,10,10,6,8,10,10,2,6,Бернли , Лидс,0,4,2
1022,47,53,9,7,7,3,2,4,9,15,6,5,14,9,3,1,Саутгемптон , Фулхэм,3,1,1
1023,51,49,4,11,2,3,2,8,7,5,3,3,4,7,0,2,Брайтон , Вест Хэм,1,1,0
1024,46,54,11,13,8,5,3,8,23,13,7,7,13,23,2,2,Кристал Пэлас , Астон Вилла,3,2,1
1025,61,39,22,10,13,3,9,7,8,11,10,3,11,8,2,3,Тоттенхэм , Вулверхэмптон,2,0,1
1026,24,76,8,16,3,6,5,10,7,14,9,13,14,7,3,2,Вест Бромвич , Ливерпуль,1,2,2
1027,62,38,11,6,6,3,5,3,8,12,11,4,12,8,0,3,Эвертон , Шеффилд Юнайтед,0,1,2
